name,year_born,year_death,live
АБАЗА,1882,1936,54
АБАКУМОВ,1891,1980,89
АБАКУМОВ,1885,1973,88
АБАМЕЛЕК,1852,1923,71
АБАЦИЕВ,1857,1936,79
АБАЦИЕВ,1890,1983,93
АБАЦВЕВА,1872,1964,92
УБАШЕВА,1887,1937,50
АГБДАНК,1885,1962,77
АБДАНК,1918,1994,76
АБЕЛЬСОН,1863,1932,69
АБЕЛЬСОН,1871,1934,63
АБРАГАМСОН,1854,1924,70
АБРАМОВ,1920,1920,0
АБРАМОВ,1856,1923,67
АБРАМОВ,1889,1971,82
АБРАМОВ,1870,1963,93
АБРАМС,1861,1935,74
АБРОСИМОВ,1870,1929,59
АБХАЗА,1881,1942,61
АВАКНЯНЦ,1893,1978,85
АВГУСТИНОВИЧ,1897,1953,56
АВДАЛОВИЧ,1556,1934,378
АВДЕЕВА,1913,1928,15
АВДИРЕВ,1872,1945,73
АВЕДОВА,1920,1947,27
АВЕРБУХ,1871,1929,58
АВЕРБУХ,1888,1930,42
АВЕРИН,1875,1932,57
АВЕРЧЕНКО,1881,1925,44
АВЕРЬЯНОВ,1900,1921,21
АВЕРЬЯНОВ,1867,1937,70
АВИЛОВ,1892,1942,50
АВИН,1867,1935,68
АВИНОВА,1882,1975,93
АВКСЕНТЬЕВ,1878,1943,65
АВСЕКНКО,1896,1941,45
АВСТРИЦ,1858,1925,67
АВТАМОНОВ,1885,1929,44
АВТОНОМОВ,1865,1928,63
АВТОНОМОВ,1876,1931,55
АВТОНОМОВ,1885,1976,91
АВТОРХАНОВ,1908,1997,89
АВШАРОВ,1922,1995,73
АВЬЕРИНО,1903,1990,87
АВЬЕРИНО,1871,1372,-499
АТАДЖАНЯН,1893,1970,77
АГАДЖАНЯН,1876,1955,79
АГАПЕЕВ,1876,1956,80
АГАПЕЕВ,1877,1948,71
АГАПИТОВСКИЙ,1900,1944,44
АГАПОВ,1890,1973,83
АГАРКОВ,1871,1933,62
АГАРОНОВ,1939,1997,58
АГАФОНОВ,1905,1926,21
АГОЕВ,1889,1971,82
АГОЕВА,1895,1929,34
АГРЕНЕВА,1881,1964,83
АГРИКОЛЯНСКИЙ,1896,1962,66
АГТЕ,1866,1922,56
АГУРСКИЙ,1933,1991,58
АДАМАНТОВ,1871,1960,89
АДАМОВ,1894,1975,81
АДАМОВ,1858,1988,130
АДАМОВА,1900,1926,26
АДАМОВА,1900,1982,82
АДАМОВИЧ,1870,1936,66
АДАМОВНЧ,1892,1972,80
АДАМОВИЧ,1879,1926,47
АДАРИДН,1859,1940,81
АДЕКНОВ,1693,1932,239
АДЕКСАНДРОВ,1886,1970,84
АДЕЛЬГЕЙМ,1892,1931,39
АДЛЕР,1886,1930,44
АДЛЕРБЕРГ,1849,1931,82
АДЛЕРБЕРГ,1903,1969,66
АДЛЕРБЕРГ,1872,1944,72
АДЛЕРБЕРГ,1890,1983,93
АДОНЦ,1873,1942,69
АЗАРЕНКО,1891,1957,66
АЗАРЕНКО,1885,1964,79
АЗАРОВСКИЙ,1881,1931,50
АИТОВ,1879,1963,84
АИТОВ,1852,1933,81
АИНТОВА,1877,1969,92
АЙВАЗ,1860,1930,70
АЙЗЕНШТ,1866,1937,71
АЙЗЕНТИТАДТ,1900,1970,70
АЙЗЕНШТЕЙН,1865,1931,66
АЙХЕНВАЛЬД,1872,1928,56
АКБЕРДНИН,1873,1936,63
АКИМЕНКО,1876,1945,69
АКИМОВ,1890,1938,48
АКИМОВ,1851,1924,73
АКИМОВА,1798,1933,135
АККЕРМАН,1901,1936,35
АККЕРМАН,1854,1924,70
АКОПЬЯНЦ,1910,1928,18
АКСЕНОВ,1900,1960,60
АКСЕНОВ,1893,1963,70
АКСЕНОВ,1898,1921,23
АКСЕНОВА,1902,1954,52
АКСЕНОВА,1928,1929,1
АКУЛИНИН,1883,1944,61
АКУЛЬШИН,1896,1988,92
АКЦЫНОВ,1877,1936,59
АЛАБОВСКИЙ,1893,1974,81
АЛАДЖИДИ,1903,1973,70
АЛАДЖИДИ,1904,1993,89
АЛАКОЗОВ,1891,1972,81
АЛАЛЫКИН,1880,1932,52
АЛАФУЗОВ,1891,1930,39
АЛАХАЛЕЛА,1894,1931,37
АЛДАН,1904,1957,53
АЛЕЙНИКОВ,1888,1935,47
АЛЕЙНИКОВ,1861,1926,65
АЛЕКИН,1004,1942,938
АЛЕКСАНДЕР,1882,1930,48
АЛЕКСАНДР,1866,1933,67
АЛЕКСАНДРОВ,1898,1969,71
АЛЕКСАНДРОВ,1896,1962,66
АЛЕКСАНДРОВ,1875,1936,61
АЛЕКСАНДРОВ,1888,1928,40
АЛЕКСАНДРОВ,1886,1970,84
АЛЕКСАНДРОВ,1898,1978,80
АЛЕКСАНДРОВ,1910,1984,74
АЛЕКСАНДРОВА,1876,1969,93
АЛЕКСАНДРОВА,1878,1976,98
АЛЕКСАНДРОВА,1898,1984,86
АЛЕКСАНДРОВА,1905,1927,22
АЛЕКСАНДРОВА,1953,1997,44
АЛЕКСАНДРОВА,1879,1975,96
АЛЕКСАНДРОВА,1904,1997,93
АЛЕКСАНДРОВИЧ,1889,1933,44
АЛЕКСАНДРОВИЧ,1889,1928,39
АЛЕКСБЕВ,1894,1930,36
АЛЕКСЕЕВ,1909,1974,65
АЛЕКСЕЕВ,1891,1975,84
АЛЕКСЕЕВ,1891,1937,46
АЛЕКСКЕВ,1879,1964,85
АЛЕКСЕЕВВ,1875,1955,80
АЛЕКСЕЕВ,1907,1935,28
АЛЕКСЕВЕВ,1870,1945,75
АЛЕКСЕЕВ,1898,1941,43
АЛЕКСЕЕВ,1880,1967,87
АЛВЕКСЕЕВ,1894,1964,70
АЛЕКСЕЕВА,1892,1972,80
АЛЕКСЕЕВА,1899,1944,45
АЛЕКСИНСКАХ,1897,1929,32
АЛЕКСИНСКИЙ,1910,1955,45
АЛЕКСИНСКИЙ,1879,1967,88
АЛЕКСИНСКИЙ,1941,1988,47
АЛЕХИН,1892,1946,54
АЛЕШИН,1896,1962,66
АЛЕЩЕНКО,1900,1983,83
АЛЕЩЕНКО,1929,1974,45
АЛЕЩЕНКО,1892,1984,92
АЛИВЛАНОВ,1896,1940,44
АЛИМОВА,1878,1970,92
АЛИМОВА,1899,1972,73
АЛИФАНОВ,1900,1968,68
АЛЛОГУЛОВ,1861,1931,70
АЛОН,1953,1985,32
АЛПАТОВ,1891,1943,52
АЛПАТЬЕВ,1887,1975,88
АЛТУХОВА,1876,1945,69
АЛФЕРОВ,1848,1929,81
АЛФЕРОВА,1891,1967,76
АЛШЕВСКИЙ,1900,1921,21
АЛЫМОВ,1904,1976,72
АЛЫМОВ,1857,1934,77
АЛЬБАМ,1872,1928,56
АЛЬБЕДИЛЬ,1898,1970,72
АЛЬБЕРТОВ,1873,1928,55
АЛЬБОВ,1868,1928,60
АЛЬБРАНД,1900,1980,80
АЛЬБРЕХТ,1923,1989,66
АЛЬБРЕХТ,1890,1945,55
АЛЬТФАТЕР,1814,1931,117
АЛЯКРИТСКИЙ,1896,1972,76
АЛЯНЧИКОВ,1874,1936,62
АМАЛЬРИК,1938,1980,42
АМАСИЙСКИЙ,1887,1964,77
АМБУРГРР,1901,1979,78
АМЕЛУНГ,1856,1928,72
АБАЗА,1882,1936,54
АБАКУМОВ,1891,1980,89
АБАКУМОВ,1885,1973,88
АБАМЕЛЕК,1852,1923,71
АБАЦИЕВ,1857,1936,79
АБАЦИЕВ,1890,1983,93
АБАЦВЕВА,1872,1964,92
УБАШЕВА,1887,1937,50
АГБДАНК,1885,1962,77
АБДАНК,1918,1994,76
АБЕЛЬСОН,1863,1932,69
АБЕЛЬСОН,1871,1934,63
АБРАГАМСОН,1854,1924,70
АБРАМОВ,1920,1920,0
АБРАМОВ,1856,1923,67
АБРАМОВ,1889,1971,82
АБРАМОВ,1870,1963,93
АБРАМС,1861,1935,74
АБРОСИМОВ,1870,1929,59
АБХАЗА,1881,1942,61
АВАКНЯНЦ,1893,1978,85
АВГУСТИНОВИЧ,1897,1953,56
АВДАЛОВИЧ,1556,1934,378
АВДЕЕВА,1913,1928,15
АВДИРЕВ,1872,1945,73
АВЕДОВА,1920,1947,27
АВЕРБУХ,1871,1929,58
АВЕРБУХ,1888,1930,42
АВЕРИН,1875,1932,57
АВЕРЧЕНКО,1881,1925,44
АВЕРЬЯНОВ,1900,1921,21
АВЕРЬЯНОВ,1867,1937,70
АВИЛОВ,1892,1942,50
АВИН,1867,1935,68
АВИНОВА,1882,1975,93
АВКСЕНТЬЕВ,1878,1943,65
АВСЕКНКО,1896,1941,45
АВСТРИЦ,1858,1925,67
АВТАМОНОВ,1885,1929,44
АВТОНОМОВ,1865,1928,63
АВТОНОМОВ,1876,1931,55
АВТОНОМОВ,1885,1976,91
АВТОРХАНОВ,1908,1997,89
АВШАРОВ,1922,1995,73
АВЬЕРИНО,1903,1990,87
АВЬЕРИНО,1871,1372,-499
АТАДЖАНЯН,1893,1970,77
АГАДЖАНЯН,1876,1955,79
АГАПЕЕВ,1876,1956,80
АГАПЕЕВ,1877,1948,71
АГАПИТОВСКИЙ,1900,1944,44
АГАПОВ,1890,1973,83
АГАРКОВ,1871,1933,62
АГАРОНОВ,1939,1997,58
АГАФОНОВ,1905,1926,21
АГОЕВ,1889,1971,82
АГОЕВА,1895,1929,34
АГРЕНЕВА,1881,1964,83
АГРИКОЛЯНСКИЙ,1896,1962,66
АГТЕ,1866,1922,56
АГУРСКИЙ,1933,1991,58
АДАМАНТОВ,1871,1960,89
АДАМОВ,1894,1975,81
АДАМОВ,1858,1988,130
АДАМОВА,1900,1926,26
АДАМОВА,1900,1982,82
АДАМОВИЧ,1870,1936,66
АДАМОВНЧ,1892,1972,80
АДАМОВИЧ,1879,1926,47
АДАРИДН,1859,1940,81
АДЕКНОВ,1693,1932,239
АДЕКСАНДРОВ,1886,1970,84
АДЕЛЬГЕЙМ,1892,1931,39
АДЛЕР,1886,1930,44
АДЛЕРБЕРГ,1849,1931,82
АДЛЕРБЕРГ,1903,1969,66
АДЛЕРБЕРГ,1872,1944,72
АДЛЕРБЕРГ,1890,1983,93
АДОНЦ,1873,1942,69
АЗАРЕНКО,1891,1957,66
АЗАРЕНКО,1885,1964,79
АЗАРОВСКИЙ,1881,1931,50
АИТОВ,1879,1963,84
АИТОВ,1852,1933,81
АИНТОВА,1877,1969,92
АЙВАЗ,1860,1930,70
АЙЗЕНШТ,1866,1937,71
АЙЗЕНТИТАДТ,1900,1970,70
АЙЗЕНШТЕЙН,1865,1931,66
АЙХЕНВАЛЬД,1872,1928,56
АКБЕРДНИН,1873,1936,63
АКИМЕНКО,1876,1945,69
АКИМОВ,1890,1938,48
АКИМОВ,1851,1924,73
АКИМОВА,1798,1933,135
АККЕРМАН,1901,1936,35
АККЕРМАН,1854,1924,70
АКОПЬЯНЦ,1910,1928,18
АКСЕНОВ,1900,1960,60
АКСЕНОВ,1893,1963,70
АКСЕНОВ,1898,1921,23
АКСЕНОВА,1902,1954,52
АКСЕНОВА,1928,1929,1
АКУЛИНИН,1883,1944,61
АКУЛЬШИН,1896,1988,92
АКЦЫНОВ,1877,1936,59
АЛАБОВСКИЙ,1893,1974,81
